typeName,groupName,maxProductionLimit,basePrice,published,buildTime,outputQuantity,productName,productGroup4Name,productGroup3Name,productGroup2Name,productGroup1Name,productGroup0Name
Hypnagogic Neurolink Booster Reaction Formula,Gas-Phase Reaction Formulas,100,10000000,1,NULL,NULL,NULL,,,,,
Stress-Responding Neurolink Stabilizer Reaction Formula,Gas-Phase Reaction Formulas,100,10000000,1,NULL,NULL,NULL,,,,,
Reaction-Orienting Neurolink Stabilizer Reaction Formula,Gas-Phase Reaction Formulas,100,10000000,1,NULL,NULL,NULL,,,,,
Ultradian-Cycling Neurolink Stabilizer Reaction Formula,Gas-Phase Reaction Formulas,100,10000000,1,NULL,NULL,NULL,,,,,
Isotropic Neofullerene Gamma-9 Reaction Formula,Gas-Phase Reaction Formulas,100,10000000,1,NULL,NULL,NULL,,,,,
Isotropic Neofullerene Beta-6 Reaction Formula,Gas-Phase Reaction Formulas,100,10000000,1,NULL,NULL,NULL,,,,,
Isotropic Neofullerene Alpha-3 Reaction Formula,Gas-Phase Reaction Formulas,100,10000000,1,NULL,NULL,NULL,,,,,
Sense-Heuristic Neurolink Booster Reaction Formula,Gas-Phase Reaction Formulas,100,10000000,1,NULL,NULL,NULL,,,,,
Cogni-Emotive Neurolink Booster Reaction Formula,Gas-Phase Reaction Formulas,100,10000000,1,NULL,NULL,NULL,,,,,
Axosomatic Neurolink Booster Reaction Formula,Gas-Phase Reaction Formulas,100,10000000,1,NULL,NULL,NULL,,,,,
Meta-Operant Neurolink Booster Reaction Formula,Gas-Phase Reaction Formulas,100,40000000,1,NULL,NULL,NULL,,,,,
Thermosetting Polymer Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Reinforced Carbon Fiber Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Pressurized Oxidizers Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Oxy-Organic Solvents Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Carbon Fiber Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Goal-Orienting Neurolink Stabilizer Reaction Formula,Gas-Phase Reaction Formulas,100,10000000,1,NULL,NULL,NULL,,,,,
Methanofullerene Reaction Formula,Polymer Reaction Formulas,1000,15000000,1,NULL,NULL,NULL,,,,,
Fulleroferrocene Reaction Formula,Polymer Reaction Formulas,1000,15000000,1,NULL,NULL,NULL,,,,,
PPD Fullerene Fibers Reaction Formula,Polymer Reaction Formulas,1000,15000000,1,NULL,NULL,NULL,,,,,
Fullerene Intercalated Graphite Reaction Formula,Polymer Reaction Formulas,1000,15000000,1,NULL,NULL,NULL,,,,,
Lanthanum Metallofullerene Reaction Formula,Polymer Reaction Formulas,1000,15000000,1,NULL,NULL,NULL,,,,,
Scandium Metallofullerene Reaction Formula,Polymer Reaction Formulas,1000,15000000,1,NULL,NULL,NULL,,,,,
Graphene Nanoribbons Reaction Formula,Polymer Reaction Formulas,1000,15000000,1,NULL,NULL,NULL,,,,,
Carbon-86 Epoxy Resin Reaction Formula,Polymer Reaction Formulas,1000,15000000,1,NULL,NULL,NULL,,,,,
C3-FTM Acid Reaction Formula,Polymer Reaction Formulas,1000,15000000,1,NULL,NULL,NULL,,,,,
Caesarium Cadmide Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Carbon Polymers Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Ceramic Powder Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Crystallite Alloy Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Dysporite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Fernite Alloy Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Ferrofluid Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Fluxed Condensates Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
