typeName,meterialTypeName,materialQuantity
"Bantam Blueprint",Tritanium,24000
"Bantam Blueprint",Pyerite,4500
"Bantam Blueprint",Mexallon,1875
"Bantam Blueprint",Isogen,375
"Condor Blueprint",Tritanium,32000
"Condor Blueprint",Pyerite,6000
"Condor Blueprint",Mexallon,2500
"Condor Blueprint",Isogen,500
"Griffin Blueprint",Tritanium,24000
"Griffin Blueprint",Pyerite,4500
"Griffin Blueprint",Mexallon,1875
"Griffin Blueprint",Isogen,375
"Osprey Blueprint",Tritanium,405000
"Osprey Blueprint",Pyerite,135000
"Osprey Blueprint",Mexallon,27000
"Osprey Blueprint",Isogen,7500
"Osprey Blueprint",Nocxium,1125
"Osprey Blueprint",Zydrine,263
"Osprey Blueprint",Megacyte,105
"Caracal Blueprint",Tritanium,540000
"Caracal Blueprint",Pyerite,180000
"Caracal Blueprint",Mexallon,36000
"Caracal Blueprint",Isogen,10000
"Caracal Blueprint",Nocxium,1500
"Caracal Blueprint",Zydrine,350
"Caracal Blueprint",Megacyte,140
"Raven Blueprint",Tritanium,8000000
"Raven Blueprint",Pyerite,4000000
"Raven Blueprint",Mexallon,600000
"Raven Blueprint",Isogen,400000
"Raven Blueprint",Nocxium,12000
"Raven Blueprint",Zydrine,6000
"Raven Blueprint",Megacyte,3000
"Raven Blueprint","Auto-Integrity Preservation Seal",200
"Raven Blueprint","Core Temperature Regulator",1
"Raven Blueprint","Life Support Backup Unit",100
"Slasher Blueprint",Tritanium,32000
"Slasher Blueprint",Pyerite,6000
"Slasher Blueprint",Mexallon,2500
"Slasher Blueprint",Isogen,500
"Probe Blueprint",Tritanium,35200
"Probe Blueprint",Pyerite,6600
"Probe Blueprint",Mexallon,2750
"Probe Blueprint",Isogen,550
"Rifter Blueprint",Tritanium,32000
"Rifter Blueprint",Pyerite,6000
"Rifter Blueprint",Mexallon,2500
"Rifter Blueprint",Isogen,500
"Stabber Blueprint",Tritanium,540000
"Stabber Blueprint",Pyerite,180000
"Stabber Blueprint",Mexallon,36000
"Stabber Blueprint",Isogen,10000
"Stabber Blueprint",Nocxium,1500
"Stabber Blueprint",Zydrine,350
"Stabber Blueprint",Megacyte,140
"Tempest Blueprint",Tritanium,8000000
"Tempest Blueprint",Pyerite,4000000
"Tempest Blueprint",Mexallon,600000
"Tempest Blueprint",Isogen,400000
"Tempest Blueprint",Nocxium,12000
"Tempest Blueprint",Zydrine,6000
"Tempest Blueprint",Megacyte,3000
"Tempest Blueprint","Auto-Integrity Preservation Seal",200
"Tempest Blueprint","Core Temperature Regulator",1
