typeName,typeID,groupName,maxProductionLimit,basePrice,published,buildTime,outputQuantity,productName,productGroup4Name,productGroup3Name,productGroup2Name,productGroup1Name,productGroup0Name
"Reaction-Orienting Neurolink Stabilizer Reaction Formula",57504,"Gas-Phase Reaction Formulas",100,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Isotropic Neofullerene Gamma-9 Reaction Formula",57502,"Gas-Phase Reaction Formulas",100,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Isotropic Neofullerene Beta-6 Reaction Formula",57501,"Gas-Phase Reaction Formulas",100,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Isotropic Neofullerene Alpha-3 Reaction Formula",57500,"Gas-Phase Reaction Formulas",100,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sense-Heuristic Neurolink Booster Reaction Formula",57499,"Gas-Phase Reaction Formulas",100,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Cogni-Emotive Neurolink Booster Reaction Formula",57498,"Gas-Phase Reaction Formulas",100,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Axosomatic Neurolink Booster Reaction Formula",57497,"Gas-Phase Reaction Formulas",100,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hypnagogic Neurolink Booster Reaction Formula",57496,"Gas-Phase Reaction Formulas",100,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Meta-Operant Neurolink Booster Reaction Formula",57495,"Gas-Phase Reaction Formulas",100,40000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Thermosetting Polymer Reaction Formula",57494,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Reinforced Carbon Fiber Reaction Formula",57493,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Pressurized Oxidizers Reaction Formula",57492,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Oxy-Organic Solvents Reaction Formula",57491,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Carbon Fiber Reaction Formula",57490,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ultradian-Cycling Neurolink Stabilizer Reaction Formula",57503,"Gas-Phase Reaction Formulas",100,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Stress-Responding Neurolink Stabilizer Reaction Formula",57505,"Gas-Phase Reaction Formulas",100,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Goal-Orienting Neurolink Stabilizer Reaction Formula",57506,"Gas-Phase Reaction Formulas",100,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Methanofullerene Reaction Formula",46157,"Polymer Reaction Formulas",1000,15000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Fulleroferrocene Reaction Formula",46158,"Polymer Reaction Formulas",1000,15000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"PPD Fullerene Fibers Reaction Formula",46159,"Polymer Reaction Formulas",1000,15000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Fullerene Intercalated Graphite Reaction Formula",46160,"Polymer Reaction Formulas",1000,15000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lanthanum Metallofullerene Reaction Formula",46161,"Polymer Reaction Formulas",1000,15000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
