typeID,materialTypeID,materialQuantity
683,34,24000
683,35,4500
683,36,1875
683,37,375
684,34,32000
684,35,6000
684,36,2500
684,37,500
685,34,24000
685,35,4500
685,36,1875
685,37,375
686,34,405000
686,35,135000
686,36,27000
686,37,7500
686,38,1125
686,39,263
686,40,105
687,34,540000
687,35,180000
687,36,36000
687,37,10000
687,38,1500
687,39,350
687,40,140
688,34,8000000
688,35,4000000
688,36,600000
688,37,400000
688,38,12000
688,39,6000
688,40,3000
688,57478,200
688,57479,1
688,57486,100
689,34,32000
689,35,6000
689,36,2500
689,37,500
690,34,35200
690,35,6600
690,36,2750
690,37,550
691,34,32000
691,35,6000
691,36,2500
691,37,500
692,34,540000
692,35,180000
692,36,36000
692,37,10000
692,38,1500
692,39,350
692,40,140
693,34,8000000
693,35,4000000
693,36,600000
693,37,400000
693,38,12000
693,39,6000
693,40,3000
693,57478,200
693,57479,1
693,57486,100
784,11399,1
784,3689,8
784,483,1
784,11541,5
784,11689,3
784,11482,1
785,34,1324
785,35,481
785,36,119
786,34,471
786,35,716
788,34,3258
788,35,2926
788,36,107
790,40,22
790,34,122
790,35,1342
790,38,9
790,39,4
803,34,3084
803,35,472
803,36,68
803,39,4
804,34,1867
804,35,144
804,36,17
804,38,2
804,39,4
805,34,1842
805,35,707
805,39,4
806,34,1447
806,36,81
806,37,4
806,39,2
807,34,351
807,35,119
807,38,1
808,34,496
808,35,220
808,38,2
809,34,716
809,35,2
809,36,6
809,38,3
810,34,820
810,38,2
811,34,69
811,35,43
811,36,2
812,34,58
812,35,72
813,34,150
813,35,18
813,36,12
814,34,54
814,35,16
814,36,6
819,34,231
819,35,220
820,34,996
820,35,300
820,39,2
821,34,1667
821,35,144
821,36,83
821,37,22
822,34,1596
822,35,690
822,36,144
823,34,2729
823,35,148
823,36,171
823,39,4
824,34,827
824,35,598
824,36,493
825,40,2
825,34,4453
825,35,1287
825,36,1199
826,34,4529
826,35,1643
826,36,2413
826,38,1
827,34,9089
827,35,2786
827,36,2827
827,37,14
827,38,1
828,34,9133
828,35,2981
828,36,3599
828,37,2
828,38,18
829,40,8
829,34,13684
829,35,4117
829,36,3851
829,39,2
830,34,45551
830,35,12150
830,36,6060
830,37,1596
830,38,126
830,39,16
831,34,68307
831,35,17839
831,36,7197
831,37,1951
831,38,234
831,39,12
831,40,26
832,34,91067
832,35,23527
832,36,8613
832,37,2294
832,38,324
832,39,18
832,40,52
833,34,113880
833,35,29214
833,36,9747
833,37,2650
833,38,411
833,39,42
833,40,74
834,34,231
834,35,220
835,34,1102
835,35,113
835,36,4
835,38,2
835,39,2
836,34,1742
836,35,6
836,36,78
836,37,13
836,39,2
837,34,1556
837,35,1158
837,36,3
837,37,7
838,34,2200
838,35,809
838,36,21
838,37,4
838,39,4
839,34,9
839,35,598
839,36,493
840,40,2
840,34,4453
840,35,1287
840,36,1199
841,34,4529
841,35,1643
841,36,2413
841,38,1
842,34,9089
842,35,2786
842,36,2827
842,37,14
842,38,1
843,34,9133
843,35,2981
843,36,3599
843,37,2
843,38,18
844,40,8
844,34,13684
844,35,4117
844,36,3851
844,39,2
845,34,45551
845,35,12150
845,36,6060
845,37,1596
845,38,126
845,39,16
846,34,68307
846,35,17839
846,36,7197
846,37,1951
846,38,234
846,39,12
846,40,26
847,34,91067
847,35,23527
847,36,8613
847,37,2294
847,38,324
847,39,18
847,40,52
848,34,113880
848,35,29214
848,36,9747
848,37,2650
848,38,411
848,39,42
848,40,74
879,34,27
879,35,21
880,34,38
880,35,32
881,34,58
881,35,23
881,37,1
882,34,118
882,36,1
882,37,2
883,34,58
883,35,64
883,36,1
884,34,162
884,35,3
884,37,3
885,34,164
885,35,17
885,37,3
886,34,204
886,35,17
886,38,1
887,34,164
887,35,17
887,37,3
888,34,116
888,35,129
888,36,2
889,34,139
889,35,194
890,34,290
890,35,119
890,36,14
890,37,2
891,34,288
891,35,254
892,34,239
892,35,318
892,36,1
893,34,668
893,35,36
893,36,4
893,37,14
894,34,449
894,35,417
894,36,7
895,34,249
895,35,198
895,37,1
896,34,520
896,35,100
896,36,2
896,37,2
896,38,2
897,34,511
897,35,428
898,34,458
898,35,580
899,34,1040
899,35,156
899,36,104
900,34,1236
900,35,223
900,36,110
901,34,1529
901,36,89
901,37,23
902,34,1778
902,35,127
902,36,89
902,37,29
936,34,32000
936,35,6000
936,36,2500
936,37,500
937,34,24000
937,35,4500
